run_accession	sample_accession	experiment_accession	study_accession	fastq_ftp
ERR2017675	SAMEA104142237	ERX2077257	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2017675/ERR2017675_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2017675/ERR2017675_2.fastq.gz
ERR2017680	SAMEA104142207	ERX2077262	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2017680/ERR2017680_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2017680/ERR2017680_2.fastq.gz
ERR2017682	SAMEA104142205	ERX2077264	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/002/ERR2017682/ERR2017682_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/002/ERR2017682/ERR2017682_2.fastq.gz
ERR2017684	SAMEA104142203	ERX2077266	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/004/ERR2017684/ERR2017684_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/004/ERR2017684/ERR2017684_2.fastq.gz
ERR2017685	SAMEA104142202	ERX2077267	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2017685/ERR2017685_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2017685/ERR2017685_2.fastq.gz
ERR2017687	SAMEA104142200	ERX2077269	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/007/ERR2017687/ERR2017687_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/007/ERR2017687/ERR2017687_2.fastq.gz
ERR2017691	SAMEA104142197	ERX2077273	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/001/ERR2017691/ERR2017691_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/001/ERR2017691/ERR2017691_2.fastq.gz
ERR2017693	SAMEA104142195	ERX2077275	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/003/ERR2017693/ERR2017693_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/003/ERR2017693/ERR2017693_2.fastq.gz
ERR2017698	SAMEA104142190	ERX2077280	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2017698/ERR2017698_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2017698/ERR2017698_2.fastq.gz
ERR2017706	SAMEA104142182	ERX2077288	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/006/ERR2017706/ERR2017706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/006/ERR2017706/ERR2017706_2.fastq.gz
