run_accession	sample_accession	experiment_accession	study_accession	fastq_ftp
ERR321339	SAMEA2153557	ERX294472	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321339/ERR321339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321339/ERR321339_2.fastq.gz
ERR321343	SAMEA2153557	ERX294476	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321343/ERR321343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321343/ERR321343_2.fastq.gz
ERR321345	SAMEA2153557	ERX294478	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321345/ERR321345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321345/ERR321345_2.fastq.gz
ERR321346	SAMEA2149539	ERX294479	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321346/ERR321346_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321346/ERR321346_2.fastq.gz
ERR321348	SAMEA2149539	ERX294481	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321348/ERR321348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321348/ERR321348_2.fastq.gz
ERR321354	SAMEA2158408	ERX294487	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321354/ERR321354_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321354/ERR321354_2.fastq.gz
ERR321357	SAMEA2158408	ERX294490	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321357/ERR321357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321357/ERR321357_2.fastq.gz
ERR321358	SAMEA2158408	ERX294491	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321358/ERR321358_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321358/ERR321358_2.fastq.gz
ERR321359	SAMEA2147022	ERX294492	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321359/ERR321359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321359/ERR321359_2.fastq.gz
ERR321363	SAMEA2147022	ERX294496	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321363/ERR321363_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321363/ERR321363_2.fastq.gz
ERR321365	SAMEA2146320	ERX294498	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321365/ERR321365_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321365/ERR321365_2.fastq.gz
ERR321366	SAMEA2146320	ERX294499	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321366/ERR321366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321366/ERR321366_2.fastq.gz
ERR321368	SAMEA2146908	ERX294501	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321368/ERR321368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321368/ERR321368_2.fastq.gz
ERR321374	SAMEA2147384	ERX294507	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321374/ERR321374_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321374/ERR321374_2.fastq.gz
ERR321376	SAMEA2147384	ERX294509	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321376/ERR321376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321376/ERR321376_2.fastq.gz
ERR321380	SAMEA2154992	ERX294513	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321380/ERR321380_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321380/ERR321380_2.fastq.gz
ERR321381	SAMEA2154992	ERX294514	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321381/ERR321381_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321381/ERR321381_2.fastq.gz
ERR321386	SAMEA2160045	ERX294519	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321386/ERR321386_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321386/ERR321386_2.fastq.gz
ERR321387	SAMEA2160045	ERX294520	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321387/ERR321387_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321387/ERR321387_2.fastq.gz
ERR321388	SAMEA2160045	ERX294521	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321388/ERR321388_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321388/ERR321388_2.fastq.gz
